PRO_COM ,NOME_COM ,COMUNE ,ANNO ,POPOLAZIONE_STRANIERA ,MASCHI ,FEMMINE ,1_STATO_DI_PROVENIENZA ,N_1_STATO_DI_PROV ,2_STATO_DI_PROVENIENZA ,N_2_STATO_DI_PROV ,3_STATO_DI_PROVENIENZA ,N_3_STATO_DI_PROV ,4_STATO_DI_PROVENIENZA ,N_4_STATO_DI_PROV
37002 ,ARGELATO ,AR ,2011 ,720 ,336 ,384 ,ROMANIA ,144 ,MAROCCO ,108 ,CINA ,103 ,ALBANIA ,74
37005 ,BENTIVOGLIO ,BE ,2011 ,442 ,218 ,224 ,MAROCCO ,95 ,ROMANIA ,78 ,TUNISIA ,54 ,ALBANIA ,27
37019 ,CASTEL MAGGIORE ,CM ,2011 ,1343 ,573 ,770 ,ROMANIA ,270 ,CINA ,162 ,MAROCCO ,126 ,MOLDAVIA ,88
37017 ,CASTELLO D'ARGILE ,CA ,2011 ,553 ,253 ,300 ,MAROCCO ,124 ,ROMANIA ,90 ,PAKISTAN ,64 ,ALBANIA ,63
37028 ,GALLIERA ,GA ,2011 ,798 ,394 ,404 ,MAROCCO ,215 ,PAKISTAN ,137 ,ROMANIA ,122 ,TUNISIA ,111
37048 ,PIEVE DI CENTO ,PC ,2011 ,613 ,291 ,322 ,MAROCCO ,157 ,ALBANIA ,98 ,TUNISIA ,97 ,CINA ,68
37052 ,SAN GIORGIO DI PIANO ,SG ,2011 ,769 ,376 ,393 ,ROMANIA ,185 ,MAROCCO ,108 ,CINA ,66 ,PAKISTAN ,57
37055 ,SAN PIETRO IN CASALE ,SP ,2011 ,1296 ,635 ,661 ,MAROCCO ,271 ,ROMANIA ,223 ,PAKISTAN ,155 ,ALBANIA ,135
37002 ,ARGELATO ,AR ,2012 ,752 ,351 ,401 ,ROMANIA ,158 ,CINA ,102 ,MAROCCO ,86 ,ALBANIA ,80
37005 ,BENTIVOGLIO ,BE ,2012 ,443 ,220 ,223 ,ROMANIA ,113 ,MAROCCO ,85 ,TUNISIA ,42 ,ALBANIA ,29
37019 ,CASTEL MAGGIORE ,CM ,2012 ,1412 ,605 ,807 ,ROMANIA ,283 ,CINA ,184 ,MAROCCO ,135 ,MOLDAVIA ,88
37017 ,CASTELLO D'ARGILE ,CA ,2012 ,567 ,261 ,306 ,MAROCCO ,106 ,ROMANIA ,102 ,PAKISTAN ,74 ,ALBANIA ,63
37028 ,GALLIERA ,GA ,2012 ,837 ,412 ,425 ,MAROCCO ,204 ,PAKISTAN ,135 ,ROMANIA ,127 ,TUNISIA ,97
37048 ,PIEVE DI CENTO ,PC ,2012 ,584 ,269 ,315 ,MAROCCO ,148 ,ALBANIA ,103 ,TUNISIA ,87 ,ROMANIA ,58
37052 ,SAN GIORGIO DI PIANO ,SG ,2012 ,814 ,388 ,426 ,ROMANIA ,209 ,MAROCCO ,110 ,CINA ,74 ,PAKISTAN ,58
37055 ,SAN PIETRO IN CASALE ,SP ,2012 ,1340 ,654 ,686 ,MAROCCO ,280 ,ROMANIA ,246 ,PAKISTAN ,157 ,ALBANIA ,139
37002 ,ARGELATO ,AR ,2013 ,765 ,370 ,395 ,ROMANIA ,191 ,CINA ,97 ,ALBANIA ,77 ,MAROCCO ,66
37005 ,BENTIVOGLIO ,BE ,2013 ,421 ,203 ,218 ,ROMANIA ,114 ,MAROCCO ,73 ,TUNISIA ,37 ,ALBANIA ,33
37019 ,CASTEL MAGGIORE ,CM ,2013 ,1387 ,584 ,803 ,ROMANIA ,271 ,CINA ,187 ,MAROCCO ,138 ,MOLDAVIA ,100
37017 ,CASTELLO D'ARGILE ,CA ,2013 ,598 ,270 ,328 ,MAROCCO ,118 ,ROMANIA ,115 ,PAKISTAN ,74 ,ALBANIA ,70
37028 ,GALLIERA ,GA ,2013 ,749 ,350 ,399 ,MAROCCO ,197 ,ROMANIA ,131 ,PAKISTAN ,128 ,TUNISIA ,74
37048 ,PIEVE DI CENTO ,PC ,2013 ,569 ,259 ,310 ,MAROCCO ,128 ,ALBANIA ,96 ,TUNISIA ,90 ,ROMANIA ,53
37052 ,SAN GIORGIO DI PIANO ,SG ,2013 ,761 ,346 ,415 ,ROMANIA ,206 ,MAROCCO ,100 ,CINA ,69 ,MOLDAVIA ,64
37055 ,SAN PIETRO IN CASALE ,SP ,2013 ,1309 ,625 ,684 ,ROMANIA ,256 ,MAROCCO ,244 ,PAKISTAN ,166 ,ALBANIA ,140
37002 ,ARGELATO ,AR ,2014 ,755 ,366 ,389 ,ROMANIA ,196 ,CINA ,85 ,ALBANIA ,82 ,MAROCCO ,69
37005 ,BENTIVOGLIO ,BE ,2014 ,448 ,209 ,239 ,ROMANIA ,130 ,MAROCCO ,81 ,TUNISIA ,37 ,ALBANIA/SRI LANKA ,32
37019 ,CASTEL MAGGIORE ,CM ,2014 ,1448 ,618 ,830 ,ROMANIA ,297 ,CINA ,205 ,MAROCCO ,136 ,MOLDAVIA ,114
37017 ,CASTELLO D'ARGILE ,CA ,2014 ,595 ,249 ,346 ,MAROCCO ,134 ,ROMANIA ,126 ,ALBANIA ,65 ,PAKISTAN ,55
37028 ,GALLIERA ,GA ,2014 ,766 ,363 ,403 ,MAROCCO ,199 ,ROMANIA/ PAKISTAN ,132 ,TUNISIA ,75 ,ALBANIA ,58
37048 ,PIEVE DI CENTO ,PC ,2014 ,554 ,253 ,301 ,MAROCCO ,116 ,ALBANIA ,85 ,TUNISIA ,83 ,ROMANIA ,59
37052 ,SAN GIORGIO DI PIANO ,SG ,2014 ,792 ,353 ,439 ,ROMANIA ,214 ,MAROCCO ,101 ,CINA ,69 ,MOLDAVIA ,59
37055 ,SAN PIETRO IN CASALE ,SP ,2014 ,1327 ,624 ,703 ,ROMANIA ,276 ,MAROCCO ,235 ,PAKISTAN ,187 ,ALBANIA ,127
37002 ,ARGELATO ,AR ,2015 ,793 ,380 ,413 ,ROMANIA ,233 ,CINA ,84 ,ALBANIA ,79 ,MAROCCO ,67
37005 ,BENTIVOGLIO ,BE ,2015 ,453 ,206 ,247 ,ROMANIA ,116 ,MAROCCO ,72 ,TUNISIA ,34 ,ALBANIA/SRI LANKA ,33
37019 ,CASTEL MAGGIORE ,CM ,2015 ,1539 ,660 ,879 ,ROMANIA ,325 ,CINA ,214 ,MAROCCO  ,147 ,MOLDAVIA ,127
37017 ,CASTELLO D'ARGILE ,CA ,2015 ,566 ,249 ,317 ,ROMANIA ,121 ,MAROCCO ,116 ,ALBANIA ,55 ,PAKISTAN ,44
37028 ,GALLIERA ,GA ,2015 ,772 ,353 ,419 ,MAROCCO ,196 ,PAKISTAN ,140 ,ROMANIA ,138 ,ALBANIA/TUNISIA ,63
37048 ,PIEVE DI CENTO ,PC ,2015 ,566 ,250 ,316 ,MAROCCO ,122 ,ALBANIA ,86 ,TUNISIA ,78 ,CINA ,63
37052 ,SAN GIORGIO DI PIANO ,SG ,2015 ,836 ,368 ,468 ,ROMANIA ,233 ,MAROCCO ,118 ,CINA ,67 ,BANGLADESH ,64
37055 ,SAN PIETRO IN CASALE ,SP ,2015 ,1344 ,618 ,726 ,ROMANIA ,296 ,MAROCCO ,231 ,PAKISTAN ,185 ,ALBANIA  ,113
37002 ,ARGELATO ,AR ,2016 ,800 ,380 ,420 ,ROMANIA ,244 ,CINA ,99 ,MOLDAVIA ,77 ,ALBANIA ,76
37005 ,BENTIVOGLIO ,BE ,2016 ,456 ,200 ,256 ,ROMANIA ,116 ,MAROCCO ,70 ,UCRAINA ,36 ,SRI LANKA ,33
37019 ,CASTEL MAGGIORE ,CM ,2016 ,1563 ,676 ,887 ,ROMANIA ,355 ,CINA ,207 ,MOLDAVIA ,128 ,MAROCCO ,126
37017 ,CASTELLO D'ARGILE ,CA ,2016 ,576 ,254 ,322 ,ROMANIA ,132 ,MAROCCO ,100 ,ALBANIA ,51 ,PAKISTAN ,50
37028 ,GALLIERA ,GA ,2016 ,788 ,353 ,435 ,MAROCCO ,190 ,PAKISTAN ,147 ,ROMANIA ,146 ,ALBANIA ,67
37048 ,PIEVE DI CENTO ,PC ,2016 ,563 ,248 ,315 ,MAROCCO ,117 ,ALBANIA ,83 ,TUNISIA ,78 ,CINA ,70
37052 ,SAN GIORGIO DI PIANO ,SG ,2016 ,850 ,386 ,464 ,ROMANIA ,239 ,MAROCCO ,113 ,CINA ,80 ,BANGLADESH ,68
37055 ,SAN PIETRO IN CASALE ,SP ,2016 ,1368 ,637 ,731 ,ROMANIA ,319 ,MAROCCO ,235 ,PAKISTAN ,183 ,ALBANIA ,109
